timestamp,user,ip,location,event,risk,details,status,response
2026-04-27T10:14:36.327Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,""
2026-04-27T10:32:20.065Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T10:33:24.526Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T11:31:10.794Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,""
2026-04-27T11:32:11.094Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,""
2026-04-27T11:33:11.337Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,""
2026-04-27T11:34:11.534Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,""
2026-04-27T11:35:11.748Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,""
2026-04-27T11:59:12.732Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,""
2026-04-27T12:00:12.945Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,""
2026-04-27T12:01:13.109Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,""
2026-04-27T12:02:13.290Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,""
2026-04-27T12:32:50.434Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T12:33:50.664Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T12:34:50.857Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T12:35:51.058Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T12:36:51.238Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T12:37:51.415Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T12:47:26.505Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T12:48:26.719Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T12:49:26.934Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T12:49:35.511Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T12:50:27.120Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T12:50:35.760Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T12:51:27.291Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T12:51:36.061Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T12:52:27.469Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T12:52:36.261Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T12:53:36.430Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T12:54:36.678Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T12:58:58.689Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T12:59:58.874Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T13:00:59.059Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T13:01:59.221Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
2026-04-27T13:02:59.389Z,testuser,203.0.113.99,Moscow, RU,login,high,"Login from unusual location",failed,"Request failed with status code 500"
2026-04-27T13:03:59.552Z,vipuser,192.0.2.123,Berlin, DE,session_hijack,critical,"Session token used from new device",failed,"Request failed with status code 500"
